Compound,Barr1_PEC50_SEM,Barr1_Span_SEM,Barr1_LogR_SEM,Barr2_PEC50_SEM,Barr2_Span_SEM,Barr2_LogR_SEM,Barr2GRK2_PEC50_SEM,Barr2GRK2_Span_SEM,Barr2GRK2_LogR_SEM,Barr2GRK5_PEC50_SEM,Barr2GRK5_Span_SEM,Barr2GRK5_LogR_SEM,Barr2GRK6_PEC50_SEM,Barr2GRK6_Span_SEM,Barr2GRK6_LogR_SEM,EPAC_PEC50_SEM,EPAC_Span_SEM,EPAC_LogR_SEM,Gai1_PEC50_SEM,Gai1_Span_SEM,Gai1_LogR_SEM,Gai2_PEC50_SEM,Gai2_Span_SEM,Gai2_LogR_SEM,Gao_PEC50_SEM,Gao_Span_SEM,Gao_LogR_SEM,Kir_PEC50_SEM,Kir_Span_SEM,Kir_LogR_SEM
Buprenorphine,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,6,6,6
DAMGO,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,7,7,7
Endomorphine1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,4,4,4,4,4,4,4,4,4,7,7,7
Fentanyl,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,4,4,4,4,4,4,4,4,4,7,7,7
Loperamide,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,7,7,7
Meptazinol,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,7,7,7
Met-Enk,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,29,29,29,20,20,20,21,21,21,21,21,21,20,20,20
Morphine,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,6,6,6,7,7,7
Oxycodone,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,4,4,4,5,5,5,4,4,4,7,7,7
Tramadol,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,10,10,10,4,4,4,5,5,5,4,4,4,5,5,5
Cmp 1,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,6,6,5,5,5,4,4,4,5,5,5
Cmp 3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,6,6,6,5,5,5,4,4,4,6,6,6
Cmp 4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5
Cmp 5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,4,4,4,7,7,7,6,6,6,4,4,4
Cmp 6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4
Cmp 7,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,5,5,5
Cmp 8,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,6,6,6
Cmp 9,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4
Cmp 10,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,6,6,6
Cmp 11,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,5,5,5,4,4,4,7,7,7
Cmp 12,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,5,5,5,4,4,4,5,5,5
Cmp 13,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,5,5,5,5,5,5,7,7,7
Cmp 14,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,5,5,5,4,4,4,5,5,5
Cmp 15,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,5,5,5,4,4,4,5,5,5
Cmp 16,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,6,6,6,5,5,5,4,4,4,5,5,5
